video_id,title,shorts_url,isLive,membersOnly,evidence
AjAfrWAhgio,【質問】専業VTuberにならないの？ #shorts  #vtuber,https://www.youtube.com/shorts/AjAfrWAhgio,False,False,youtube_channel_shorts_tab
NhZSkXbhHgg,Q、リスナーにしてほしいことってある？　#Shorts #vtuber,https://www.youtube.com/shorts/NhZSkXbhHgg,False,False,youtube_channel_shorts_tab
Z8hNQ2e2oGs,エモくする為にしたことがリスナーに全く刺さらなかったVTuber #Shorts #vtuber #クロノトリガー,https://www.youtube.com/shorts/Z8hNQ2e2oGs,False,False,youtube_channel_shorts_tab
76C4fv6fx4E,Q、どうして広告切ってるの？,https://www.youtube.com/shorts/76C4fv6fx4E,False,False,youtube_channel_shorts_tab
SIed6uBLckg,ご主人様フェチのメイド #shorts #vtuber,https://www.youtube.com/shorts/SIed6uBLckg,False,False,youtube_channel_shorts_tab
vbes66BT_Qw,眼鏡フェチのご主人 #Shorts #vtuber,https://www.youtube.com/shorts/vbes66BT_Qw,False,False,youtube_channel_shorts_tab
wCxdgzT4Trg,おまじないのメイド #shorts #vtuber,https://www.youtube.com/shorts/wCxdgzT4Trg,False,False,youtube_channel_shorts_tab
cDhf6l4gVjg,ゲームでやっていいギリギリの煽り #shorts #vtuber,https://www.youtube.com/shorts/cDhf6l4gVjg,False,False,youtube_channel_shorts_tab
eP8Ue_We7JQ,どうにかしてベジータの人生に食い込もうとする女(ネタバレ注意) #Shorts #vtuber #ドラゴンボールZ,https://www.youtube.com/shorts/eP8Ue_We7JQ,False,False,youtube_channel_shorts_tab
eXt8i-PTMyo,ワギャンランドで最悪の解釈をする駆け出しVTuber #Shorts #vtuber #ワギャンランド,https://www.youtube.com/shorts/eXt8i-PTMyo,False,False,youtube_channel_shorts_tab
eUAW8Yx54I4,模範的なヤンデレ #shorts #vtuber,https://www.youtube.com/shorts/eUAW8Yx54I4,False,False,youtube_channel_shorts_tab
xQVRnqBhZpU,あまりにボコボコにされ感情を失ったVTuber #Shorts #vtuber #ワギャンランド,https://www.youtube.com/shorts/xQVRnqBhZpU,False,False,youtube_channel_shorts_tab
hMVqqLyzgJg,ボーナスステージの車破壊に戸惑うVTuber #Shorts #vtuber #ファイナルファイト,https://www.youtube.com/shorts/hMVqqLyzgJg,False,False,youtube_channel_shorts_tab
n6813qY-7Xc,常日頃から仮装してる感じのカスのおねえちゃん #Shorts #vtuber,https://www.youtube.com/shorts/n6813qY-7Xc,False,False,youtube_channel_shorts_tab
fR1W9yWSyZk,ジューンブライドのメイド #shorts #vtuber,https://www.youtube.com/shorts/fR1W9yWSyZk,False,False,youtube_channel_shorts_tab
R2pVDaNc-zs,実家のメイド #Shorts #vtuber,https://www.youtube.com/shorts/R2pVDaNc-zs,False,False,youtube_channel_shorts_tab
kC2awWJ02mc,ぶいきゃすコレクションうつろの会場放映映像 #Shorts #vtuber,https://www.youtube.com/shorts/kC2awWJ02mc,False,False,youtube_channel_shorts_tab
5Onu0A6UiFs,家具のメイド #Shorts #vtuber,https://www.youtube.com/shorts/5Onu0A6UiFs,False,False,youtube_channel_shorts_tab
orsxMXvKjxI,ベジータとの再会で情緒不安定なVTuber(ネタバレ注意)　 ＃Shorts #vtuber #ドラゴンボールZ,https://www.youtube.com/shorts/orsxMXvKjxI,False,False,youtube_channel_shorts_tab
CbsEWt2vjvQ,ＶＴＲがＵＴＲに見える氷室うつろ #Shorts #vtuber,https://www.youtube.com/shorts/CbsEWt2vjvQ,False,False,youtube_channel_shorts_tab
mA_-ZXnR-d8,ロックマン2でバブルをゴミ扱いしたVTuberの末路 #shorts #vtuber #ロックマン2,https://www.youtube.com/shorts/mA_-ZXnR-d8,False,False,youtube_channel_shorts_tab
fK7I_-zFuJU,弟に寿司を食われる姉の氷室うつろ #Shorts #vtuber,https://www.youtube.com/shorts/fK7I_-zFuJU,False,False,youtube_channel_shorts_tab
CyScWdYptdQ,商業主義に屈してバーガーを作るうつろ #shorts #vtuber,https://www.youtube.com/shorts/CyScWdYptdQ,False,False,youtube_channel_shorts_tab
wJ0cGQoN9hE,初の「流し切りが完全に入ったのに…」を堪能する初見VTuber #Shorts #vtuber  #リベサガ,https://www.youtube.com/shorts/wJ0cGQoN9hE,False,False,youtube_channel_shorts_tab
jw8DtGI_pJM,密かな高難易度ゲーカービィボウルのあまりのシビアさに発狂 #Shorts #vtuber #カービィボウル,https://www.youtube.com/shorts/jw8DtGI_pJM,False,False,youtube_channel_shorts_tab
q025OWrh7K8,これは流石にひどすぎる #shorts #vtuber,https://www.youtube.com/shorts/q025OWrh7K8,False,False,youtube_channel_shorts_tab
ka1G7QJNLwM,インク削減のメイド #shorts #vtuber,https://www.youtube.com/shorts/ka1G7QJNLwM,False,False,youtube_channel_shorts_tab
0yn6zw7B10E,レーシングゲームで執拗に妹を攻撃するクラッシュとうつろ #shorts #vtuber,https://www.youtube.com/shorts/0yn6zw7B10E,False,False,youtube_channel_shorts_tab
oADQO2FPgI8,ガキに煽られてキレるVTuber #Shorts #vtuber,https://www.youtube.com/shorts/oADQO2FPgI8,False,False,youtube_channel_shorts_tab
z3kJSHRMoRY,初見● しにより地獄に叩き落とされるうつろ #Shorts #vtuber,https://www.youtube.com/shorts/z3kJSHRMoRY,False,False,youtube_channel_shorts_tab
NyFK4p47Opc,この迷路にピンときたら #shorts #vtuber,https://www.youtube.com/shorts/NyFK4p47Opc,False,False,youtube_channel_shorts_tab
07ez3r_A5VI,煽りを許さない！？「魔女の家」の特殊演出 #shorts #vtuber #魔女の家,https://www.youtube.com/shorts/07ez3r_A5VI,False,False,youtube_channel_shorts_tab
